web-scraper-order,web-scraper-start-url,text
LISTE DES SIGLES,http://www.vatican.va/archive/FRA0013/__P1.HTM,"AA Apostolicam actuositatem  AG Ad gentes  AHMA Analecta hymnica Medii Aevi  Ben De Benedictionibus  CA Centesimus annus  Catech. R. Catechismus Romanus  CCEO Corpus Canonum Ecclesiarum Orientalium  CD Christus Dominus  CDF Congrégation pour la doctrine de la foi  CJC Codex Iuris Canonici  CL Christifideles laici  COD Conciliorum oecumenicorum decreta  CT Catechesi tradendae  DCG Directorium Catecheticum Generale  DeV Dominum et Vivificantem  DH Dignitatis humanae  DM Dives in misericordia  DS Denzinger-Schönmetzer, Enchiridion Symbolorum, definitionum et declarationum de rebus fidei et morum  DV Dei Verbum  EN Evangelii nuntiandi  FC Familiaris consortio  GB Gravissimum educationis  GS Gaudium et spes  HV Humanae vitae  IGLH Introductio generalis LH  IGMR Institutio generalis MR  IM Inter mirifica  LE Laborem exercens  LG Lumen gentium  LH Liturgia Horarum  MC Marialis cultus  MD Mulieris dignitatem  MF Mysterium fidei  MM Mater et magistra  MR Missale Romanum  NA Nostra aetate  OBA Ordo baptismi adultorum  OBP Ordo baptismi parvulorum  OCf Ordo confirmationis  OcM Ordo celebrandi Matrimonium  OCV Ordo consecrationis virginum  OE Orientalium ecclesiarum  OEx Ordo exsequiarum  off. lect. office des lectures  OICA Ordo initiationis christianae adultorum  OP Ordo poenitentiae  OT Optatam totius  PC Perfectae caritatis  PO Presbyterorum Ordinis  PP Populorum progressio  PT Pacem in terris  RH Redemptor hominis  RM Redemptoris Mater  RP Reconciliatio et poenitentia  SC Sacrosanctum concilium  SPF Credo du Peuple de Dieu: profession de foi solennelle  SRS Sollicitudo rei socialis  UR Unitatis redintegratio"
LISTE DES SIGLES,http://www.vatican.va/archive/FRA0013/__P1.HTM,LISTE DES SIGLES
"I. "" Regarde, Seigneur, la foi de ton Église """,http://www.vatican.va/archive/FRA0013/__P10.HTM,"168 C’est d’abord l’Église qui croit, et qui ainsi porte, nourrit et soutient ma foi. C’est d’abord l’Église qui, partout, confesse le Seigneur ("" C’est toi que par tout l’univers la Sainte Église proclame son Seigneur "", chantons-nous dans le "" Te Deum ""), et avec elle et en elle, nous sommes entraînés et amenés à confesser, nous aussi : "" Je crois "", "" Nous croyons "". C’est par l’Église que nous recevons la foi et la vie nouvelle dans le Christ par le baptême. Dans le "" Rituale Romanum "", le ministre du baptême demande au catéchumène : "" Que demandes-tu à l’Église de Dieu ? "" Et la réponse : "" La foi "". "" Que te donne la foi ? "" "" La vie éternelle "" (OICA 75 et 247)."
"I. "" Regarde, Seigneur, la foi de ton Église """,http://www.vatican.va/archive/FRA0013/__P10.HTM,"169 Le salut vient de Dieu seul ; mais parce que nous recevons la vie de la foi à travers l’Église, celle-ci est notre mère : "" Nous croyons l’Église comme la mère de notre nouvelle naissance, et non pas en l’Église comme si elle était l’auteur de notre salut "" (Faustus de Riez, Spir. 1, 2 : CSEL 21, 104). Parce qu’elle est notre mère, elle est aussi l’éducatrice de notrefoi."
"I. "" Regarde, Seigneur, la foi de ton Église """,http://www.vatican.va/archive/FRA0013/__P10.HTM,"I. "" Regarde, Seigneur, la foi de ton Église """
II. Le langage de la foi,http://www.vatican.va/archive/FRA0013/__P11.HTM,"170 Nous ne croyons pas en des formules, mais dans les réalités qu’elles expriment et que la foi nous permet de "" toucher "". "" L’acte (de foi) du croyant ne s’arrête pas à l’énoncé, mais à la réalité (énoncée) "" (S. Thomas d’A., s. th. 2-2, 1, 2, ad 2). Cependant, ces réalités, nous les approchons à l’aide des formulations de la foi. Celles-ci permettent d’exprimer et de transmettre la foi, de la célébrer en communauté, de l’assimiler et d’en vivre de plus en plus."
II. Le langage de la foi,http://www.vatican.va/archive/FRA0013/__P11.HTM,"171 L’Église qui est "" la colonne et le soutien de la vérité "" (1 Tm 3, 15), garde fidèlement "" la foi transmise aux saints une fois pour toutes "" (Jude 3). C’est elle qui garde la mémoire des Paroles du Christ, c’est elle qui transmet de génération en génération la confession de foi des apôtres. Comme une mère qui apprend à ses enfants à parler, et par là même à comprendre et à communiquer, l’Église, notre Mère, nous apprend le langage de la foi pour nous introduire dans l’intelligence et la vie de la foi."
II. Le langage de la foi,http://www.vatican.va/archive/FRA0013/__P11.HTM,II. Le langage de la foi
III. Une seule foi,http://www.vatican.va/archive/FRA0013/__P12.HTM,"172 Depuis des siècles, à travers tant de langues, cultures, peuples et nations, l’Église ne cesse de confesser sa foi unique, reçue d’un seul Seigneur, transmise par un seul baptême, enracinée dans la conviction que tous les hommes n’ont qu’un seul Dieu et Père (cf. Ep 4, 4-6). S. Irénée de Lyon, témoin de cette foi, déclare :"
III. Une seule foi,http://www.vatican.va/archive/FRA0013/__P12.HTM,"173 "" En effet, l’Église, bien que dispersée dans le monde entier jusqu’aux extrémités de la terre, ayant reçu des apôtres et de leurs disciples la foi (...) garde [cette prédication et cette foi] avec soin, comme n’habitant qu’une seule maison, elle y croit d’une manière identique, comme n’ayant qu’une seule âme et qu’un seul cœur, et elle les prêche, les enseigne et les transmet d’une voix unanime, comme ne possédant qu’une seule bouche "" (hær. 1, 10, 1-2)."
